company,size,industry,city,state,contacts,roles,interactions,interactionSubjects,daysSinceLastInteraction,averageOfferValue,offerClosed,offerHitRate,daysSinceLastOfferClosed,customerClassification
"Montes, Edwards and Navarro",Medium,Ridesharing & Mobility Services,Michelleborough,Illinois,2,"CEO, Technical Representative",13,"Follow-up on order, Contract negotiation, Product demostration, Customer inquiry, Product feedback",166,10470.71,5,0.29,66,C
Morrison Ltd,Large,Automotive R&D and Testing Centers,North William,Oklahoma,2,CFO,17,"Product demostration, Follow-up on order, Product feedback, Follow-up on proposal, Discuss project details, Contract negotiation, Customer inquiry",67,9512.17,8,0.47,56,B
"Kim, White and Warner",Small,Electric Vehicle (EV) Industry,Lake Ashley,Maine,1,Technical Manager,15,"Discuss project details, Product demostration, Customer inquiry, Follow-up on proposal, Product feedback, Follow-up on order, Contract negotiation",179,10142.51,7,0.35,219,C
"Brown, Thomas and Hansen",Large,Automotive R&D and Testing Centers,New Davidstad,New Hampshire,3,"Sales Representative, Technical Representative, CEO",12,"Customer inquiry, Follow-up on order, Product demostration, Product feedback, Discuss project details, Contract negotiation, Follow-up on proposal",223,10274.11,5,0.2,45,C
Pearson Inc,Medium,Ridesharing & Mobility Services,Tonyaside,Alaska,2,"Technical Representative, CFO",21,"Product demostration, Discuss project details, Customer inquiry, Follow-up on order, Product feedback, Follow-up on proposal, Contract negotiation",184,10209.0,6,0.32,259,C
"Liu, Farley and Whitaker",Medium,Ridesharing & Mobility Services,Theodoreview,New Hampshire,1,Technical Manager,8,"Contract negotiation, Follow-up on order, Discuss project details, Product feedback, Customer inquiry",58,10097.02,4,0.31,76,C
Johnson Group,Small,Automotive R&D and Testing Centers,New Rachel,California,2,"CFO, Technical Manager",15,"Product feedback, Follow-up on proposal, Follow-up on order, Contract negotiation, Customer inquiry, Product demostration, Discuss project details",45,10070.83,11,0.48,54,A
Jackson PLC,Small,Electric Vehicle (EV) Industry,West Michael,Arkansas,2,"Sales Manager, Sales Representative",21,"Customer inquiry, Product feedback, Follow-up on proposal, Follow-up on order, Contract negotiation, Product demostration, Discuss project details",114,10179.45,12,0.57,35,A
Osborn-Daniels,Large,Electric Vehicle (EV) Industry,Jimmyberg,Oregon,1,Technical Representative,13,"Discuss project details, Follow-up on order, Product feedback, Product demostration, Contract negotiation, Follow-up on proposal, Customer inquiry",60,9865.97,7,0.54,211,C
"Brown, Jones and Sharp",Small,Connected Car Solutions Providers,Kirkshire,Vermont,1,Technical Manager,16,"Product feedback, Follow-up on order, Customer inquiry, Follow-up on proposal, Discuss project details, Contract negotiation, Product demostration",45,9900.42,14,0.52,50,A
"Valdez, Leon and Shea",Large,Connected Car Solutions Providers,Kevinbury,Arizona,1,CCO,19,"Product demostration, Discuss project details, Product feedback, Follow-up on proposal, Contract negotiation, Follow-up on order",49,10138.62,10,0.48,98,B
"West, Harris and Powell",Large,Ridesharing & Mobility Services,Parkerview,Utah,1,CEO,13,"Product demostration, Follow-up on proposal, Contract negotiation, Follow-up on order, Discuss project details, Product feedback, Customer inquiry",115,9980.82,18,0.64,33,A
Moses LLC,Medium,Ridesharing & Mobility Services,East Peter,Louisiana,1,CFO,23,"Customer inquiry, Follow-up on proposal, Contract negotiation, Product demostration, Follow-up on order, Discuss project details",66,10219.06,17,0.53,53,A
Cooke and Sons,Small,Connected Car Solutions Providers,Port Arthurbury,Colorado,2,Sales Manager,18,"Customer inquiry, Follow-up on proposal, Follow-up on order, Product feedback, Discuss project details, Product demostration, Contract negotiation",82,10375.7,8,0.53,42,B
Buck-James,Medium,Ridesharing & Mobility Services,East Meganshire,Maryland,2,Technical Manager,17,"Product feedback, Product demostration, Discuss project details, Customer inquiry, Follow-up on order",63,10297.48,12,0.55,113,A
Luna-Anderson,Small,Fleet Management,West Andrew,Connecticut,1,Sales Representative,14,"Customer inquiry, Product feedback, Follow-up on order, Product demostration, Contract negotiation, Discuss project details, Follow-up on proposal",96,10125.47,9,0.39,54,B
Parker Inc,Small,Automobile Manufacturers (OEMs),East Christopherfurt,Indiana,1,CCO,12,"Product demostration, Product feedback, Discuss project details, Customer inquiry, Follow-up on order, Follow-up on proposal, Contract negotiation",74,9939.42,9,0.45,68,B
Ochoa-Mckee,Small,Ridesharing & Mobility Services,South Anita,Alabama,1,CEO,13,"Product demostration, Customer inquiry, Contract negotiation, Discuss project details, Follow-up on proposal, Follow-up on order",92,10061.72,9,0.43,35,B
"Davis, Chen and Weaver",Large,Connected Car Solutions Providers,New Matthew,Maryland,2,"Technical Representative, CCO",10,"Product demostration, Product feedback, Customer inquiry, Follow-up on proposal, Contract negotiation, Follow-up on order, Discuss project details",146,9899.25,11,0.48,75,A
Mueller-Gomez,Medium,Connected Car Solutions Providers,New Jennifer,Wyoming,3,"Technical Representative, CFO, Sales Representative",14,"Customer inquiry, Follow-up on proposal, Discuss project details, Follow-up on order, Contract negotiation, Product feedback, Product demostration",180,10037.44,7,0.29,109,C
"Obrien, Moore and Adams",Medium,Ridesharing & Mobility Services,Jamestown,West Virginia,2,CFO,17,"Customer inquiry, Discuss project details, Follow-up on proposal, Follow-up on order, Product demostration, Product feedback, Contract negotiation",33,9596.31,10,0.42,105,B
Ramsey-Wilson,Small,Fleet Management,Stricklandhaven,Massachusetts,4,"CFO, CEO, Sales Representative",10,"Follow-up on order, Contract negotiation, Product feedback, Discuss project details",347,10489.4,9,0.53,43,B
Harris-Rodriguez,Small,Automotive R&D and Testing Centers,Cooperside,Iowa,1,Technical Manager,14,"Discuss project details, Product demostration, Product feedback, Customer inquiry, Follow-up on order, Contract negotiation, Follow-up on proposal",47,10363.98,9,0.36,59,B
"Johnson, Wright and Ortega",Medium,Automobile Manufacturers (OEMs),East Charlesville,Vermont,3,"Sales Manager, CCO",13,"Follow-up on order, Product feedback, Customer inquiry, Contract negotiation, Discuss project details",109,9725.36,13,0.5,45,A
Roberts-Barnes,Small,Connected Car Solutions Providers,Port Susan,Connecticut,3,"CEO, CFO",17,"Product demostration, Discuss project details, Contract negotiation, Customer inquiry, Follow-up on proposal, Product feedback",95,9851.76,9,0.38,49,B
"Gonzalez, Green and Green",Medium,Connected Car Solutions Providers,East Kelly,Kansas,4,"CEO, Technical Representative, Sales Representative",11,"Product feedback, Product demostration, Customer inquiry, Follow-up on proposal, Discuss project details, Follow-up on order",37,10171.42,11,0.52,47,A
Spencer LLC,Medium,Ridesharing & Mobility Services,Isabelhaven,Utah,2,"Sales Representative, Sales Manager",17,"Follow-up on order, Follow-up on proposal, Product demostration, Discuss project details, Customer inquiry, Product feedback",101,9680.14,8,0.47,105,B
Mays-Goodman,Medium,Automotive R&D and Testing Centers,Riceburgh,North Carolina,2,"CEO, Technical Manager",15,"Follow-up on order, Customer inquiry, Contract negotiation, Discuss project details, Product feedback, Follow-up on proposal, Product demostration",98,9705.53,5,0.36,128,C
Crawford-Davis,Large,Electric Vehicle (EV) Industry,Jillchester,Minnesota,2,"Technical Representative, CCO",17,"Product demostration, Follow-up on order, Customer inquiry, Product feedback, Discuss project details, Contract negotiation, Follow-up on proposal",49,9851.81,6,0.38,46,C
Mcconnell PLC,Large,Automotive R&D and Testing Centers,Ericside,California,1,Technical Manager,19,"Product feedback, Contract negotiation, Customer inquiry, Discuss project details, Product demostration, Follow-up on order, Follow-up on proposal",81,9978.91,9,0.33,128,B
Johnson-Thompson,Medium,Fleet Management,Stevenfort,Maryland,4,"Technical Manager, Technical Representative, CCO",17,"Product demostration, Contract negotiation, Discuss project details, Customer inquiry, Product feedback, Follow-up on order, Follow-up on proposal",35,9935.51,11,0.42,93,A
Tucker-Johnson,Large,Automobile Manufacturers (OEMs),Gallaghermouth,Minnesota,1,Technical Manager,13,"Customer inquiry, Follow-up on proposal, Contract negotiation, Follow-up on order, Product feedback, Product demostration, Discuss project details",60,10323.82,8,0.47,84,B
Walker-Miller,Medium,Electric Vehicle (EV) Industry,New Michelle,Minnesota,1,Technical Manager,16,"Customer inquiry, Product feedback, Contract negotiation, Discuss project details, Follow-up on proposal, Product demostration",57,10028.42,9,0.35,35,B
Green Ltd,Medium,Automotive R&D and Testing Centers,Brianastad,Rhode Island,2,"CFO, Sales Representative",20,"Follow-up on proposal, Follow-up on order, Product demostration, Product feedback, Discuss project details, Contract negotiation",109,10004.34,12,0.6,152,A
"Martinez, Hancock and Watson",Medium,Fleet Management,South Haley,Tennessee,3,"Technical Manager, Sales Manager",17,"Product feedback, Follow-up on order, Follow-up on proposal, Customer inquiry, Product demostration, Contract negotiation, Discuss project details",49,10001.71,5,0.25,115,C
"Avery, Reynolds and Reed",Medium,Automobile Manufacturers (OEMs),North Christine,Pennsylvania,3,"CEO, Technical Representative, Sales Representative",14,"Follow-up on proposal, Customer inquiry, Follow-up on order, Discuss project details, Product demostration, Contract negotiation",72,10242.99,11,0.48,197,A
Russell PLC,Small,Electric Vehicle (EV) Industry,Lake Katrina,Maryland,1,CEO,26,"Customer inquiry, Follow-up on proposal, Discuss project details, Product demostration, Follow-up on order, Contract negotiation, Product feedback",51,10086.12,5,0.36,47,C
"Stevens, Turner and Graves",Large,Ridesharing & Mobility Services,North Belindaton,Connecticut,1,Technical Manager,12,"Contract negotiation, Follow-up on order, Product demostration, Discuss project details, Product feedback",147,10273.1,7,0.44,174,C
Pearson and Sons,Medium,Automobile Manufacturers (OEMs),North Christinaburgh,Virginia,2,Sales Representative,15,"Product feedback, Customer inquiry, Discuss project details, Follow-up on order, Follow-up on proposal, Contract negotiation, Product demostration",34,9786.1,2,0.17,515,C
Gregory-Williams,Small,Ridesharing & Mobility Services,Gabrielchester,Kansas,2,"Technical Manager, Sales Manager",19,"Follow-up on order, Customer inquiry, Product feedback, Discuss project details, Contract negotiation, Follow-up on proposal",178,9985.45,8,0.36,48,B
"Mooney, Bowman and Vaughn",Large,Fleet Management,South Bonniemouth,New York,1,CEO,11,"Product feedback, Customer inquiry, Follow-up on order, Follow-up on proposal, Discuss project details",262,10163.33,9,0.43,139,B
"Jordan, Zhang and Rogers",Small,Automotive R&D and Testing Centers,New Amy,Missouri,2,"CFO, CEO",19,"Discuss project details, Product demostration, Contract negotiation, Follow-up on proposal, Product feedback, Follow-up on order",36,9688.91,5,0.38,99,C
Hall-Elliott,Medium,Fleet Management,Sanchezland,Florida,1,CCO,17,"Contract negotiation, Discuss project details, Follow-up on proposal, Product feedback, Customer inquiry, Follow-up on order, Product demostration",68,10140.98,10,0.48,111,B
Turner and Sons,Large,Automobile Manufacturers (OEMs),South Victoria,Florida,1,Technical Manager,13,"Follow-up on proposal, Contract negotiation, Follow-up on order, Product feedback, Product demostration",35,9733.62,8,0.57,35,B
Watson and Sons,Small,Automotive R&D and Testing Centers,South Chadborough,West Virginia,1,Technical Manager,19,"Follow-up on order, Contract negotiation, Follow-up on proposal, Customer inquiry, Product feedback, Discuss project details, Product demostration",69,9850.3,7,0.33,61,C
Rodriguez Group,Small,Ridesharing & Mobility Services,Lake Eric,Louisiana,2,"CFO, Technical Representative",14,"Contract negotiation, Product demostration, Discuss project details, Follow-up on order, Customer inquiry, Follow-up on proposal",121,10307.41,8,0.42,77,B
Smith-Moreno,Large,Automobile Manufacturers (OEMs),South Vickie,Iowa,1,Sales Manager,18,"Follow-up on proposal, Customer inquiry, Product demostration, Follow-up on order, Contract negotiation, Discuss project details",111,10294.19,11,0.48,50,A
"Miller, Morris and Harris",Small,Fleet Management,West Heather,Wisconsin,1,Technical Representative,11,"Customer inquiry, Follow-up on proposal, Follow-up on order, Discuss project details, Contract negotiation",180,9919.82,7,0.44,44,C
Taylor-Evans,Medium,Ridesharing & Mobility Services,Lake Charles,North Carolina,2,"CEO, Technical Representative",15,"Discuss project details, Product feedback, Product demostration, Follow-up on proposal, Customer inquiry, Contract negotiation",49,9833.43,8,0.35,55,B
Owens Ltd,Small,Automobile Manufacturers (OEMs),East Scott,Vermont,3,"CEO, Sales Manager, Sales Representative",18,"Discuss project details, Follow-up on order, Follow-up on proposal, Product feedback, Customer inquiry, Contract negotiation, Product demostration",107,10161.46,6,0.32,44,C
Lawson-Robles,Medium,Ridesharing & Mobility Services,Port Johnny,North Carolina,2,"Technical Manager, CEO",12,"Contract negotiation, Product demostration, Customer inquiry, Follow-up on proposal, Discuss project details",52,9899.82,14,0.56,129,A
Hensley-Smith,Small,Ridesharing & Mobility Services,Port Andre,New York,3,"CEO, Sales Representative, CCO",18,"Product demostration, Follow-up on proposal, Follow-up on order, Discuss project details, Product feedback, Contract negotiation, Customer inquiry",40,9694.14,4,0.24,66,C
"Kirk, Mcdonald and Freeman",Large,Fleet Management,Jessicaport,North Dakota,2,"Sales Representative, CFO",25,"Discuss project details, Contract negotiation, Product demostration, Product feedback, Follow-up on proposal, Customer inquiry",81,9808.6,10,0.5,66,B
"Watts, Perez and Burgess",Large,Fleet Management,Michaelfort,Kentucky,1,CEO,13,"Customer inquiry, Contract negotiation, Follow-up on order, Product feedback, Discuss project details, Follow-up on proposal",163,10064.04,6,0.43,87,C
Cunningham-Thompson,Large,Automotive R&D and Testing Centers,New Keith,Oregon,2,"CCO, CFO",14,"Product demostration, Contract negotiation, Customer inquiry, Follow-up on proposal, Product feedback, Discuss project details, Follow-up on order",45,9904.26,10,0.62,72,B
